@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute class {0,1}
@data
4.0,10.0963,121.929,13.0,0
12.0,12.6127,130.915,2.0,0
4.0,10.3793,130.554,2.0,0
4.0,0.0,130.554,3.0,0
8.0,10.9487,2.49958,9.0,0
7.0,12.6299,4.38937,12.0,0
7.0,12.8037,8.81525,18.0,0
8.0,13.5369,21.9256,20.0,0
4.0,10.1178,16.8755,10.0,0
9.0,12.8661,19.4849,10.0,0
3.0,10.1673,18.2919,12.0,0
10.0,10.6652,19.4849,11.0,0
5.0,12.9625,24.1079,18.0,0
9.0,15.2932,25.7016,4.0,0
3.0,10.6166,26.6283,10.0,0
9.0,11.2249,32.1219,11.0,0
7.0,11.576,34.169,3.0,0
5.0,10.3409,40.6533,20.0,0
5.0,10.5293,40.1796,20.0,0
3.0,10.6532,43.0215,11.0,0
5.0,10.8417,48.1138,20.0,0
9.0,10.3763,52.2372,11.0,0
3.0,10.1628,59.9181,11.0,0
4.0,10.1139,79.9174,20.0,0
4.0,10.4366,79.9174,20.0,0
4.0,10.1214,92.2123,20.0,0
12.0,12.2104,139.49,4.0,0
4.0,10.0156,154.829,19.0,0
4.0,11.1756,161.903,19.0,0
4.0,10.0975,173.648,19.0,0
12.0,11.0133,182.204,4.0,0
12.0,15.7861,305.013,20.0,0
3.0,10.9558,283.13,20.0,0
4.0,11.3849,275.36,20.0,0
4.0,0.0,275.36,4.0,0
4.0,10.0038,322.73,22.0,0
5.0,14.6707,374.437,10.0,0
12.0,10.6771,569.31,14.0,0
6.0,10.3932,687.236,15.0,0
7.0,11.5032,771.027,20.0,0
8.0,0.0,745.337,4.0,0
8.0,13.5106,798.312,8.0,0
5.0,10.0652,969.569,12.0,0
5.0,10.888,979.123,2.0,0
6.0,10.667,998.513,2.0,0
6.0,0.0,998.513,4.0,0
9.0,12.0276,1170.18,10.0,0
12.0,10.6202,1436.38,11.0,0
8.0,88.1404,704.615,1.0,1
12.0,10.2077,4.44892,1.0,0
12.0,11.3215,87.2967,2.0,0
12.0,10.0327,1255.14,1.0,0
10.0,10.0629,3.25999,2.0,0
10.0,10.0481,13.6105,1.0,0
12.0,10.5504,92.2685,2.0,0
12.0,10.8674,9.13874,2.0,0
12.0,0.0,19.21,2.0,0
12.0,12.2954,45.2124,4.0,0
12.0,11.0011,5.90495,1.0,0
12.0,11.465,4.59778,2.0,0
12.0,12.4101,12.7252,1.0,0
11.0,33.6251,80.1139,1.0,0
10.0,17.733,3.40399,3.0,0
11.0,14.0407,18.7423,3.0,0
11.0,10.0276,67.0802,3.0,0
12.0,0.0,229.845,1.0,0
